LOCATION_NAME,CITY_NAME,POSTAL_CD,TERRITORY_CD,FIPS_COUNTY_CD,LATITUDE_MEAS,LONGITUDE_MEAS
WEST FARMS,FARMINGTON,06032,CT,U,41.718482,-72.760606
MANCHESTER,MANCHESTER,06040,CT,U,41.809604,-72.530109
MANCHESTER,MANCHESTER,06040,CT,U,41.812572,-72.531697
SIMSBURY,SIMSBURY,06070,CT,U,41.8173342,-72.8649798
ENFIELD,ENFIELD,06082,CT,U,41.9898916,-72.582993
WETHERSFIELD,WETHERSFIELD,06109,CT,U,41.6930654,-72.6579672
KILLINGLY,DAYVILLE,06241,CT,U,41.841341,-71.882393
WATERFORD,WATERFORD,06385,CT,U,41.3748225,-72.1449958
WATERFORD,WATERFORD,06385,CT,U,41.372991,-72.144
GUILFORD,GUILFORD,06437,CT,U,41.3017884,-72.7093312
MILFORD,MILFORD,06460,CT,U,41.2371072,-73.0391802
ORANGE,ORANGE,06477,CT,U,41.261513,-73.002641
ORANGE,ORANGE,06477,CT,U,41.262436,-73.001394
SHELTON,SHELTON,06484,CT,U,41.2647214,-73.1304463
SOUTHINGTON,SOUTHINGTON,06489,CT,U,41.6395661,-72.8712445
HAMDEN,HAMDEN,06514,CT,U,41.3673714,-72.9192501
TORRINGTON,TORRINGTON,06790,CT,U,41.8184533,-73.0755029
BROOKFIELD,BROOKFIELD,06804,CT,U,41.4365147,-73.4132361
DANBURY,DANBURY,06810,CT,U,41.377197,-73.487374
DANBURY,DANBURY,06810,CT,U,41.375623,-73.476313
FAIRFIELD,FAIRFIELD,06824,CT,U,41.1508911,-73.243012
NORWALK,NORWALK,06851,CT,U,41.126978,-73.3845802
NORWALK,NORWALK,06851,CT,U,41.1318525,-73.4237643
STAMFORD,STAMFORD,06905,CT,U,41.0672423,-73.546219
WEST CALDWELL,WEST CALDWELL,07006,NJ,U,40.8509303,-74.2945378
CLIFTON,CLIFTON,07013,NJ,U,40.830355,-74.13807
CLIFTON,CLIFTON,07014,NJ,U,40.830767,-74.138796
EDGEWATER,EDGEWATER,07020,NJ,U,40.8199349,-73.9770593
EDGEWATER,EDGEWATER,07020,NJ,U,40.8110603,-73.9828924
PARSIPPANY,PARSIPPANY,07054,NJ,U,40.87241513,-74.42837602
PARSIPPANY,PARSIPPANY,07054,NJ,U,40.8620831,-74.3739297
WATCHUNG,WATCHUNG,07069,NJ,U,40.641127,-74.415795
CARLSTADT,CARLSTADT,07072,NJ,U,40.8416176,-74.1020413
MILLBURN,SHORT HILLS,07078,NJ,U,40.720026,-74.33006
SOUTH PLAINFIELD,SOUTH PLAINFIELD,07080,NJ,U,40.5585391,-74.4382724
"SPRINGFIELD, NJ",SPRINGFIELD,07081,NJ,U,40.685001,-74.3317335
SPRINGFIELD,SPRINGFIELD,07081,NJ,U,40.718757,-74.330373
WESTFIELD,WESTFIELD,07090,NJ,U,40.6501296,-74.3384378
CHELSEA BBBABY,NEW YORK,07094,NJ,U,40.7458581,-73.9946806
LIBERTY VIEW BBBABY,BROOKLYN,07094,NJ,U,40.6593468,-74.0044481
NEWARK,NEWARK,07105,NJ,U,40.7334165,-74.142984
ELIZABETH,ELIZABETH,07201,NJ,U,40.660944,-74.1732656
JERSEY CITY,JERSEY CITY,07302,NJ,U,40.724411,-74.040091
BUTLER,KINNELON,07405,NJ,U,40.9905314,-74.3330718
FRANKLIN,FRANKLIN,07416,NJ,U,41.103017,-74.580801
"WOODLAND PARK, NJ",WOODLAND PARK,07424,NJ,U,40.8592391,-74.465927
RAMSEY,RAMSEY,07446,NJ,U,41.069356,-74.139457
WAYNE,WAYNE,07470,NJ,U,40.93866,-74.270657
VALLEY RIDGE,WAYNE,07470,NJ,U,40.9303521,-74.2279088
TOTOWA,TOTOWA,07512,NJ,U,40.895681,-74.234486
ROUTE 46,TOTOWA,07512,NJ,U,40.898423,-74.240287
HACKENSACK,HACKENSACK,07601,NJ,U,40.8764962,-74.0656436
CLOSTER,CLOSTER,07624,NJ,U,40.9689706,-73.9550911
PARAMUS,PARAMUS,07652,NJ,U,40.9222386,-74.0743803
PARAMUS,PARAMUS,07652,NJ,U,40.965287,-74.07533
PARAMUS,PARAMUS,07652,NJ,U,40.918022,-74.059182
WESTWOOD,WESTWOOD,07675,NJ,U,40.9973398,-74.0388428
SEAVIEW SQUARE,OCEAN,07712,NJ,U,40.228444,-74.044718
EATONTOWN,EATONTOWN,07724,NJ,U,40.289719,-74.0449708
MANALAPAN,MANALAPAN,07726,NJ,U,40.3135001,-74.3060001
MANALAPAN,MANALAPAN,07726,NJ,U,40.288837,-74.29554
FREEHOLD,FREEHOLD,07728,NJ,U,40.2558065,-74.2867027
HOWELL,HOWELL,07731,NJ,U,40.1526084,-74.2280434
HOLMDEL,HOLMDEL,07733,NJ,U,40.415517,-74.15989
MATAWAN,MATAWAN,07747,NJ,U,40.424851,-74.270436
MATAWAN,ABERDEEN,07747,NJ,U,40.397946,-74.224385
MIDDLETOWN,MIDDLETOWN,07748,NJ,U,40.4051786,-74.1255641
MT OLIVE,FLANDERS,07836,NJ,U,40.883046,-74.706517
NEWTON,NEWTON,07860,NJ,U,41.072539,-74.740598
NEWTON,NEWTON,07860,NJ,U,41.067922,-74.743405
ROCKAWAY,ROCKAWAY,07866,NJ,U,40.90722,-74.562452
ROCKAWAY,ROCKAWAY,07866,NJ,U,40.887091,-74.528438
"ROCKAWAY, NJ",ROCKAWAY,07866,NJ,U,40.907416,-74.548584
SUCCUSUNNA,succusunna,07876,NJ,U,40.8704808,-74.6467435
GILLETTE,PEMBROKE PINES,07933,NJ,U,40.6682962,-74.4794486
EAST HANOVER,EAST HANOVER,07936,NJ,U,40.8023343,-74.361784
EAST HANOVER,EAST HANOVER,07936,NJ,U,40.8042939,-74.3659704
MORRIS PLAINS,MORRIS PLAINS,07950,NJ,U,40.844016,-74.467051
CHERRY HILL,CHERRY HILL,08002,NJ,U,39.924045,-75.037583
CHERRY HILL,CHERRY HILL,08002,NJ,U,39.923764,-75.037036
MANAHAWKIN,MANAHAWKIN,08050,NJ,U,39.696949,-74.265368
MARLTON,MARLTON,08053,NJ,U,39.8693329,-74.9200008
MT LAUREL,MT LAUREL,08054,NJ,U,39.9680946,-74.9137428
TURNERSVILLE,SEWELL,08080,NJ,U,39.71636111,-75.03042298
DEPTFORD,DEPTFORD,08096,NJ,U,39.8281757,-75.0972588
"DEPTFORD, NJ",DEPTFORD,08096,NJ,U,39.8281823,-75.0961815
DEPTFORD,X,08096,NJ,U,39.8281812,-75.0967229
RIO GRANDE,RIO GRANDE,08242,NJ,U,39.015454,-74.87633
"MAYS LANDING, NJ",MAYS LANDING,08330,NJ,U,39.451683,-74.63776
MAYS LANDING,MAYS LANDING,08330,NJ,U,39.4482404,-74.6310071
VINELAND,VINELAND,08360,NJ,U,39.432657,-75.038136
LAWRENCEVILLE,LAWRENCEVILLE,08648,NJ,U,40.297338,-74.685609
HAMILTON,HAMILTON,08691,NJ,U,40.192511,-74.641169
BRICK,BRICK,08723,NJ,U,40.0547304,-74.1561212
BRICK,BRICK,08723,NJ,U,40.0547304,-74.1561212
BRICK,BRICK,08723,NJ,U,40.0606723,-74.1405174
TOMS RIVER,TOMS RIVER,08753,NJ,U,39.9829964,-74.1823375
BRIDGEWATER,BRIDGEWATER,08807,NJ,U,40.5617136,-74.5560499
"BRIDGEWATER, NJ",BRIDGEWATER,08807,NJ,U,40.5821985,-74.6221007
GREENBROOK,ROCKVILLE,08812,NJ,U,40.5892962,-74.5012245
EAST BRUNSWICK,EAST BRUNSWICK,08816,NJ,U,40.4563223,-74.3988223
EDISON,EDISON,08817,NJ,U,40.5162354,-74.3766022
FLEMINGTON,FLEMINGTON,08822,NJ,U,40.498102,-74.85672
WOODBRIDGE,ISELIN,08830,NJ,U,40.5549767,-74.3165411
WOODBRIDGE,ISELIN,08830,NJ,U,40.559558,-74.308046
RARITAN,RARITAN,08869,NJ,U,40.5754143,-74.6328282
NORTH BRUNSWICK,NORTH BRUNSWICK,08902,NJ,U,40.462958,-74.458852
MILFORD,MILFORD,06460,CT,U,41.236496,-73.033989
LIVINGSTON,LIVINGSTON,07039,NJ,U,40.798053,-74.3476589
TOTOWA BBBABY,TOTOWA,07512,NJ,U,40.898095,-74.240144
IKEA DRIVE,PARAMUS,07652,NJ,U,40.922004,-74.074133
PARAMUS BBBABY,PARAMUS,07652,NJ,U,40.965528,-74.075376
HARMON / IKEA DRIVE,PARAMUS,07652,NJ,U,40.935,-74.0197
SHREWSBURY,SHREWSBURY,07702,NJ,U,40.3335892,-74.0630453
WEST LONG BRANCH,WEST LONG BRANCH,07764,NJ,U,40.2915165,-74.0353789
ROCKAWAY,ROCKAWAY,07866,NJ,U,40.907722,-74.548309
HARMON / CHERRY HILL,CHERRY HILL,08002,NJ,U,33.724321,-117.790335
CHERRY HILL BBBABY,CHERRY HILL,08034,NJ,U,39.9160576,-75.0080231
DEPTFORD,DEPTFORD,08096,NJ,U,39.827319,-75.096713
PRINCETON,PRINCETON,08540,NJ,U,40.300224,-74.679577
BRIDGEWATER BBBABY,BRIDGEWATER,08807,NJ,U,40.577614,-74.630982
HARMON/BRIDGEWATER,BRIDGEWATER,08807,NJ,U,40.561258,-74.55719
